Player,Team,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct
Nosthush Kenjige,United States of America,4,4,60,0,89,3,30/03,29.66,8.9,20,0,0,0
Abbas Afridi,Pakistan,1,1,18,0,31,0,-,0,10.33,-,0,0,0
Mark Adair,Ireland,3,3,72,0,74,3,23/01,24.66,6.16,24,0,0,1
Ashton Agar,Australia,2,2,48,1,56,1,01/01,56,7,48,0,0,1
Dipendra Singh Airee,Nepal,3,3,57,0,49,6,21/03,8.16,5.15,9.5,0,0,3
Moeen Ali,England,8,4,54,0,73,3,15/01,24.33,8.11,18,0,0,2
Ali Khan,United States of America,6,6,116,0,181,3,21/01,60.33,9.36,38.6,0,0,1
Charles Amini,Papua New Guinea,3,3,20,0,21,0,-,0,6.3,-,0,0,0
Corey Anderson,United States of America,6,4,48,0,69,1,29/01,69,8.62,48,0,0,2
Aqib Ilyas,Oman,4,3,66,1,76,2,17/01,38,6.9,33,0,0,1
Jofra Archer,England,8,8,158,1,190,10,12/03,19,7.21,15.8,0,0,0
Arshdeep Singh,India,8,8,180,0,215,17,09/04,12.64,7.16,10.5,0,0,3
Ayaan Khan,Oman,4,2,18,0,32,1,12/01,32,10.66,18,0,0,1
Azmatullah Omarzai,Afghanistan,8,6,67,1,104,2,10/01,52,9.31,33.5,0,0,1
Ottneil Baartman,South Africa,5,5,114,1,94,6,11/04,15.66,4.94,19,0,0,1
Sese Bau,Papua New Guinea,4,1,6,0,18,0,-,0,18,-,0,0,0
Kushal Bhurtel,Nepal,3,2,48,0,41,4,19/04,10.25,5.12,12,0,0,0
Bilal Hassan,Uganda,1,1,12,0,34,0,-,0,17,-,0,0,0
Bilal Khan,Oman,4,4,73,0,109,4,12/01,27.25,8.95,18.2,0,0,0
Abinash Bohara,Nepal,3,3,46,0,58,1,29/01,58,7.56,46,0,0,0
Trent Boult,New Zealand,4,4,96,2,59,9,16/03,6.55,3.68,10.6,0,0,0
Michael Bracewell,New Zealand,1,1,18,0,27,0,-,0,9,-,0,0,0
Jack Brassell,Namibia,2,2,16,0,46,0,-,0,17.25,-,0,0,0
Jasprit Bumrah,India,8,8,178,2,124,15,07/03,8.26,4.17,11.8,0,0,2
Curtis Campher,Ireland,3,3,42,0,39,2,24/02,19.5,5.57,21,0,0,1
Roston Chase,West Indies,6,5,90,0,80,7,12/03,11.42,5.33,12.8,0,0,4
Pat Cummins,Australia,5,5,114,1,144,9,28/03,16,7.57,12.6,0,0,1
Sam Curran,England,5,5,72,0,115,3,23/02,38.33,9.58,24,0,0,2
Brad Currie,Scotland,2,1,24,0,16,2,16/02,8,4,12,0,0,1
Gareth Delany,Ireland,3,2,23,0,29,1,10/01,29,7.56,23,0,0,1
Bas de Leede,Netherlands,4,4,83,1,119,3,22/02,39.66,8.6,27.6,0,0,3
Dhananjaya de Silva,Sri Lanka,2,1,12,0,11,1,11/01,11,5.5,12,0,0,0
Sagar Dhakal,Nepal,1,1,24,0,21,0,-,0,5.25,-,0,0,0
Shivam Dube,India,8,1,6,0,11,0,-,0,11,-,0,0,1
Aryan Dutt,Netherlands,2,2,42,0,40,3,17/02,13.33,5.71,14,0,0,0
Nikhil Dutta,Canada,1,1,16,0,41,1,01/01,41,15.37,16,0,0,0
