Player,Team,Mat,Inns,Ct,Max,Ct/Inn
Aiden Markram,SA,9,9,8,4,0.888
Glenn Maxwell,AUS,7,7,7,4,1
Harry Brook,ENG,8,8,7,2,0.875
Tristan Stubbs,SA,9,9,7,2,0.777
Tanzim Hasan Sakib,BAN,7,7,6,2,0.857
Mohammad Nabi,AFG,8,8,6,2,0.75
Heinrich Klaasen,SA,9,9,6,2,0.666
Logan van Beek,NED,4,4,5,3,1.25
Johnson Charles,WI,6,6,5,2,0.833
Tim David,AUS,7,7,5,2,0.714
Rovman Powell,WI,7,7,5,2,0.714
Gulbadin Naib,AFG,8,8,5,1,0.625
Phil Salt,ENG,8,8,5,1,0.625
Rohit Sharma,IND,8,8,5,2,0.625
Suryakumar Yadav,IND,8,8,5,2,0.625
Charith Asalanka,SL,3,3,4,2,1.333
Kamindu Mendis,SL,3,3,4,2,1.333
Sybrand Engelbrecht,NED,4,4,4,2,1
Daryl Mitchell,NZ,4,4,4,3,1
Mitchell Starc,AUS,5,5,4,2,0.8
Roston Chase,WI,6,6,4,2,0.666
Josh Hazlewood,AUS,6,6,4,1,0.666
Najmul Hossain Shanto,BAN,7,7,4,2,0.571
David Warner,AUS,7,7,4,1,0.571
Axar Patel,IND,8,8,4,1,0.5
Rashid Khan,AFG,8,8,4,2,0.5
Reeza Hendricks,SA,9,9,4,2,0.444
Marco Jansen,SA,9,9,4,2,0.444
Soumya Sarkar,BAN,2,2,3,2,1.5
Dipendra Singh Airee,NEP,3,3,3,2,1
Michael Jones,SCOT,4,3,3,2,1
Bas de Leede,NED,4,4,3,2,0.75
Glenn Phillips,NZ,4,4,3,1,0.75
David Wiese,NAM,4,4,3,2,0.75
Alzarri Joseph,WI,7,7,3,1,0.428
Rishad Hossain,BAN,7,7,3,2,0.428
Andre Russell,WI,7,7,3,2,0.428
Shakib Al Hasan,BAN,7,7,3,1,0.428
Arshdeep Singh,IND,8,8,3,1,0.375
Ravindra Jadeja,IND,8,8,3,3,0.375
David Miller,SA,9,9,3,1,0.333
Kagiso Rabada,SA,9,9,3,2,0.333
Kyle Mayers,WI,1,1,2,2,2
Mohammad Rizwan,PAK,4,1,2,2,2
Sandeep Lamichhane,NEP,2,2,2,1,1
Shoaib Khan,OMA,2,2,2,2,1
George Dockrell,IRE,3,3,2,1,0.666
Wanindu Hasaranga,SL,3,3,2,1,0.666
Imad Wasim,PAK,3,3,2,2,0.666
Aaron Johnson,CAN,3,3,2,1,0.666
Josh Little,IRE,3,3,2,2,0.666
Brandon McMullen,SCOT,4,3,2,1,0.666
Mohammed Siraj,IND,3,3,2,2,0.666
Roger Mukasa,UGA,3,3,2,2,0.666
Anil Sah,NEP,3,3,2,1,0.666
Harry Tector,IRE,3,3,2,2,0.666
Maheesh Theekshana,SL,3,3,2,1,0.666
Mark Watt,SCOT,4,3,2,1,0.666
Fakhar Zaman,PAK,4,4,2,2,0.5
Lockie Ferguson,NZ,4,4,2,1,0.5
Jaker Ali,BAN,4,4,2,1,0.5
Vivian Kingma,NED,4,4,2,2,0.5
Brian Masaba,UGA,4,4,2,1,0.5
Mohammad Amir,PAK,4,4,2,1,0.5
Max O'Dowd,NED,4,4,2,2,0.5
Alpesh Ramjani,UGA,4,4,2,1,0.5
Ruben Trumpelmann,NAM,4,4,2,1,0.5
Assad Vala,PNG,4,4,2,2,0.5
Sam Curran,ENG,5,5,2,1,0.4
Chris Jordan,ENG,5,5,2,1,0.4
Kuldeep Yadav,IND,5,5,2,1,0.4
Mark Wood,ENG,5,5,2,1,0.4
Corey Anderson,USA,6,6,2,1,0.333
Harmeet Singh,USA,6,6,2,1,0.333
Nitish Kumar,USA,6,6,2,1,0.333
Steven Taylor,USA,6,6,2,2,0.333
Karim Janat,AFG,7,7,2,1,0.285
Mitchell Marsh,AUS,7,7,2,1,0.285
Noor Ahmad,AFG,7,7,2,2,0.285
Sherfane Rutherford,WI,7,7,2,1,0.285
Towhid Hridoy,BAN,7,7,2,1,0.285
Adam Zampa,AUS,7,7,2,2,0.285
Moeen Ali,ENG,8,8,2,1,0.25
Jasprit Bumrah,IND,8,8,2,1,0.25
Ibrahim Zadran,AFG,8,8,2,1,0.25
Virat Kohli,IND,8,8,2,1,0.25
Liam Livingstone,ENG,8,8,2,1,0.25
Keshav Maharaj,SA,8,8,2,1,0.25
Hardik Pandya,IND,8,8,2,1,0.25
Anrich Nortje,SA,9,9,2,1,0.222
Fred Achelam,UGA,1,1,1,1,1
Brad Currie,SCOT,2,1,1,1,1
Mohammad Nadeem,OMA,1,1,1,1,1
Ashton Agar,AUS,2,2,1,1,0.5
Iftikhar Ahmed,PAK,2,2,1,1,0.5
Junaid Siddiqui,CAN,2,2,1,1,0.5
Semo Kamea,PNG,2,2,1,1,0.5
Karan KC,NEP,2,2,1,1,0.5
Milind Kumar,USA,2,2,1,1,0.5
James Neesham,NZ,2,2,1,1,0.5
